"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Births
	"2011"	"2011"	"October"	"10"	"Twin"	"2"	742
	"2011"	"2011"	"October"	"10"	"Triplet"	"3"	39
	"2011"	"2011"	"November"	"11"	"Single"	"1"	18918
	"2011"	"2011"	"November"	"11"	"Twin"	"2"	774
	"2011"	"2011"	"November"	"11"	"Triplet"	"3"	44
	"2011"	"2011"	"December"	"12"	"Single"	"1"	18906
	"2011"	"2011"	"December"	"12"	"Twin"	"2"	725
	"2011"	"2011"	"December"	"12"	"Triplet"	"3"	33
	"2012"	"2012"	"January"	"1"	"Single"	"1"	18642
	"2012"	"2012"	"January"	"1"	"Twin"	"2"	742
	"2012"	"2012"	"January"	"1"	"Triplet"	"3"	27
	"2012"	"2012"	"February"	"2"	"Single"	"1"	17687
	"2012"	"2012"	"February"	"2"	"Twin"	"2"	725
	"2012"	"2012"	"February"	"2"	"Triplet"	"3"	27
	"2012"	"2012"	"March"	"3"	"Single"	"1"	18981
	"2012"	"2012"	"March"	"3"	"Twin"	"2"	717
	"2012"	"2012"	"March"	"3"	"Triplet"	"3"	34
	"2012"	"2012"	"April"	"4"	"Single"	"1"	18154
	"2012"	"2012"	"April"	"4"	"Twin"	"2"	730
	"2012"	"2012"	"April"	"4"	"Triplet"	"3"	26
	"2012"	"2012"	"May"	"5"	"Single"	"1"	19561
	"2012"	"2012"	"May"	"5"	"Twin"	"2"	776
	"2012"	"2012"	"May"	"5"	"Triplet"	"3"	23
	"2012"	"2012"	"June"	"6"	"Single"	"1"	19310
	"2012"	"2012"	"June"	"6"	"Twin"	"2"	693
	"2012"	"2012"	"June"	"6"	"Triplet"	"3"	28
	"2012"	"2012"	"July"	"7"	"Single"	"1"	20085
	"2012"	"2012"	"July"	"7"	"Twin"	"2"	802
	"2012"	"2012"	"July"	"7"	"Triplet"	"3"	33
	"2012"	"2012"	"August"	"8"	"Single"	"1"	21194
	"2012"	"2012"	"August"	"8"	"Twin"	"2"	725
	"2012"	"2012"	"August"	"8"	"Triplet"	"3"	25
	"2012"	"2012"	"September"	"9"	"Single"	"1"	19751
	"2012"	"2012"	"September"	"9"	"Twin"	"2"	778
	"2012"	"2012"	"September"	"9"	"Triplet"	"3"	39
	"2012"	"2012"	"October"	"10"	"Single"	"1"	19871
	"2012"	"2012"	"October"	"10"	"Twin"	"2"	796
	"2012"	"2012"	"October"	"10"	"Triplet"	"3"	24
	"2012"	"2012"	"November"	"11"	"Single"	"1"	19156
	"2012"	"2012"	"November"	"11"	"Twin"	"2"	724
	"2012"	"2012"	"November"	"11"	"Triplet"	"3"	27
	"2012"	"2012"	"December"	"12"	"Single"	"1"	19168
	"2012"	"2012"	"December"	"12"	"Twin"	"2"	791
	"2012"	"2012"	"December"	"12"	"Triplet"	"3"	21
	"2013"	"2013"	"January"	"1"	"Single"	"1"	19068
	"2013"	"2013"	"January"	"1"	"Twin"	"2"	793
	"2013"	"2013"	"January"	"1"	"Triplet"	"3"	15
	"2013"	"2013"	"February"	"2"	"Single"	"1"	17021
	"2013"	"2013"	"February"	"2"	"Twin"	"2"	696
	"2013"	"2013"	"February"	"2"	"Triplet"	"3"	17
	"2013"	"2013"	"March"	"3"	"Single"	"1"	18459
	"2013"	"2013"	"March"	"3"	"Twin"	"2"	751
	"2013"	"2013"	"March"	"3"	"Triplet"	"3"	22
	"2013"	"2013"	"April"	"4"	"Single"	"1"	18257
	"2013"	"2013"	"April"	"4"	"Twin"	"2"	757
	"2013"	"2013"	"April"	"4"	"Triplet"	"3"	30
	"2013"	"2013"	"May"	"5"	"Single"	"1"	19334
	"2013"	"2013"	"May"	"5"	"Twin"	"2"	763
	"2013"	"2013"	"May"	"5"	"Triplet"	"3"	15
	"2013"	"2013"	"June"	"6"	"Single"	"1"	19047
	"2013"	"2013"	"June"	"6"	"Twin"	"2"	771
	"2013"	"2013"	"June"	"6"	"Triplet"	"3"	34
	"2013"	"2013"	"July"	"7"	"Single"	"1"	20270
	"2013"	"2013"	"July"	"7"	"Twin"	"2"	732
	"2013"	"2013"	"July"	"7"	"Triplet"	"3"	21
	"2013"	"2013"	"August"	"8"	"Single"	"1"	20091
	"2013"	"2013"	"August"	"8"	"Twin"	"2"	739
	"2013"	"2013"	"August"	"8"	"Triplet"	"3"	23
	"2013"	"2013"	"September"	"9"	"Single"	"1"	19379
	"2013"	"2013"	"September"	"9"	"Twin"	"2"	782
	"2013"	"2013"	"September"	"9"	"Triplet"	"3"	36
	"2013"	"2013"	"October"	"10"	"Single"	"1"	19465
	"2013"	"2013"	"October"	"10"	"Twin"	"2"	806
	"2013"	"2013"	"October"	"10"	"Triplet"	"3"	48
	"2013"	"2013"	"November"	"11"	"Single"	"1"	18161
	"2013"	"2013"	"November"	"11"	"Twin"	"2"	731
	"2013"	"2013"	"November"	"11"	"Triplet"	"3"	25
	"2013"	"2013"	"December"	"12"	"Single"	"1"	18949
	"2013"	"2013"	"December"	"12"	"Twin"	"2"	836
	"2013"	"2013"	"December"	"12"	"Triplet"	"3"	20
	"2014"	"2014"	"January"	"1"	"Single"	"1"	18694
	"2014"	"2014"	"January"	"1"	"Twin"	"2"	737
	"2014"	"2014"	"January"	"1"	"Triplet"	"3"	30
	"2014"	"2014"	"February"	"2"	"Single"	"1"	17009
	"2014"	"2014"	"February"	"2"	"Twin"	"2"	611
	"2014"	"2014"	"February"	"2"	"Triplet"	"3"	34
	"2014"	"2014"	"March"	"3"	"Single"	"1"	18774
	"2014"	"2014"	"March"	"3"	"Twin"	"2"	690
	"2014"	"2014"	"March"	"3"	"Triplet"	"3"	25
	"2014"	"2014"	"April"	"4"	"Single"	"1"	18026
	"2014"	"2014"	"April"	"4"	"Twin"	"2"	740
	"2014"	"2014"	"April"	"4"	"Triplet"	"3"	24
	"2014"	"2014"	"May"	"5"	"Single"	"1"	19692
	"2014"	"2014"	"May"	"5"	"Twin"	"2"	748
	"2014"	"2014"	"May"	"5"	"Triplet"	"3"	39
	"2014"	"2014"	"June"	"6"	"Single"	"1"	19159
	"2014"	"2014"	"June"	"6"	"Twin"	"2"	798
	"2014"	"2014"	"June"	"6"	"Triplet"	"3"	37
	"2014"	"2014"	"July"	"7"	"Single"	"1"	20768
	"2014"	"2014"	"July"	"7"	"Twin"	"2"	755
	"2014"	"2014"	"July"	"7"	"Triplet"	"3"	30
	"2014"	"2014"	"August"	"8"	"Single"	"1"	20495
	"2014"	"2014"	"August"	"8"	"Twin"	"2"	741
	"2014"	"2014"	"August"	"8"	"Triplet"	"3"	39
