"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Births
	"2012"	"2012"	"December"	"12"	"Wednesday"	"4"	"Twin"	"2"	109
"Total"	"2012"	"2012"	"December"	"12"	"Wednesday"	"4"			2938
	"2012"	"2012"	"December"	"12"	"Thursday"	"5"	"Single"	"1"	2752
	"2012"	"2012"	"December"	"12"	"Thursday"	"5"	"Twin"	"2"	113
"Total"	"2012"	"2012"	"December"	"12"	"Thursday"	"5"			2869
	"2012"	"2012"	"December"	"12"	"Friday"	"6"	"Single"	"1"	2898
	"2012"	"2012"	"December"	"12"	"Friday"	"6"	"Twin"	"2"	125
"Total"	"2012"	"2012"	"December"	"12"	"Friday"	"6"			3029
	"2012"	"2012"	"December"	"12"	"Saturday"	"7"	"Single"	"1"	2609
	"2012"	"2012"	"December"	"12"	"Saturday"	"7"	"Twin"	"2"	109
"Total"	"2012"	"2012"	"December"	"12"	"Saturday"	"7"			2720
"Total"	"2012"	"2012"	"December"	"12"					19984
"Total"	"2012"	"2012"							240916
	"2013"	"2013"	"January"	"1"	"Sunday"	"1"	"Single"	"1"	1861
	"2013"	"2013"	"January"	"1"	"Sunday"	"1"	"Twin"	"2"	55
"Total"	"2013"	"2013"	"January"	"1"	"Sunday"	"1"			1916
	"2013"	"2013"	"January"	"1"	"Monday"	"2"	"Single"	"1"	2482
	"2013"	"2013"	"January"	"1"	"Monday"	"2"	"Twin"	"2"	115
"Total"	"2013"	"2013"	"January"	"1"	"Monday"	"2"			2597
	"2013"	"2013"	"January"	"1"	"Tuesday"	"3"	"Single"	"1"	3138
	"2013"	"2013"	"January"	"1"	"Tuesday"	"3"	"Twin"	"2"	128
"Total"	"2013"	"2013"	"January"	"1"	"Tuesday"	"3"			3266
	"2013"	"2013"	"January"	"1"	"Wednesday"	"4"	"Single"	"1"	3331
	"2013"	"2013"	"January"	"1"	"Wednesday"	"4"	"Twin"	"2"	156
"Total"	"2013"	"2013"	"January"	"1"	"Wednesday"	"4"			3487
	"2013"	"2013"	"January"	"1"	"Thursday"	"5"	"Single"	"1"	3378
	"2013"	"2013"	"January"	"1"	"Thursday"	"5"	"Twin"	"2"	166
"Total"	"2013"	"2013"	"January"	"1"	"Thursday"	"5"			3550
	"2013"	"2013"	"January"	"1"	"Friday"	"6"	"Single"	"1"	2747
	"2013"	"2013"	"January"	"1"	"Friday"	"6"	"Twin"	"2"	124
"Total"	"2013"	"2013"	"January"	"1"	"Friday"	"6"			2874
	"2013"	"2013"	"January"	"1"	"Saturday"	"7"	"Single"	"1"	2131
	"2013"	"2013"	"January"	"1"	"Saturday"	"7"	"Twin"	"2"	49
"Total"	"2013"	"2013"	"January"	"1"	"Saturday"	"7"			2186
"Total"	"2013"	"2013"	"January"	"1"					19876
	"2013"	"2013"	"February"	"2"	"Sunday"	"1"	"Single"	"1"	1806
	"2013"	"2013"	"February"	"2"	"Sunday"	"1"	"Twin"	"2"	55
"Total"	"2013"	"2013"	"February"	"2"	"Sunday"	"1"			1861
	"2013"	"2013"	"February"	"2"	"Monday"	"2"	"Single"	"1"	2457
	"2013"	"2013"	"February"	"2"	"Monday"	"2"	"Twin"	"2"	93
"Total"	"2013"	"2013"	"February"	"2"	"Monday"	"2"			2556
	"2013"	"2013"	"February"	"2"	"Tuesday"	"3"	"Single"	"1"	2668
	"2013"	"2013"	"February"	"2"	"Tuesday"	"3"	"Twin"	"2"	133
"Total"	"2013"	"2013"	"February"	"2"	"Tuesday"	"3"			2807
	"2013"	"2013"	"February"	"2"	"Wednesday"	"4"	"Single"	"1"	2634
	"2013"	"2013"	"February"	"2"	"Wednesday"	"4"	"Twin"	"2"	122
"Total"	"2013"	"2013"	"February"	"2"	"Wednesday"	"4"			2759
	"2013"	"2013"	"February"	"2"	"Thursday"	"5"	"Single"	"1"	2667
	"2013"	"2013"	"February"	"2"	"Thursday"	"5"	"Twin"	"2"	105
"Total"	"2013"	"2013"	"February"	"2"	"Thursday"	"5"			2778
	"2013"	"2013"	"February"	"2"	"Friday"	"6"	"Single"	"1"	2743
	"2013"	"2013"	"February"	"2"	"Friday"	"6"	"Twin"	"2"	115
"Total"	"2013"	"2013"	"February"	"2"	"Friday"	"6"			2858
	"2013"	"2013"	"February"	"2"	"Saturday"	"7"	"Single"	"1"	2046
	"2013"	"2013"	"February"	"2"	"Saturday"	"7"	"Twin"	"2"	73
"Total"	"2013"	"2013"	"February"	"2"	"Saturday"	"7"			2119
"Total"	"2013"	"2013"	"February"	"2"					17738
	"2013"	"2013"	"March"	"3"	"Sunday"	"1"	"Single"	"1"	2110
	"2013"	"2013"	"March"	"3"	"Sunday"	"1"	"Twin"	"2"	72
"Total"	"2013"	"2013"	"March"	"3"	"Sunday"	"1"			2182
	"2013"	"2013"	"March"	"3"	"Monday"	"2"	"Single"	"1"	2501
	"2013"	"2013"	"March"	"3"	"Monday"	"2"	"Twin"	"2"	112
"Total"	"2013"	"2013"	"March"	"3"	"Monday"	"2"			2621
	"2013"	"2013"	"March"	"3"	"Tuesday"	"3"	"Single"	"1"	2525
	"2013"	"2013"	"March"	"3"	"Tuesday"	"3"	"Twin"	"2"	135
"Total"	"2013"	"2013"	"March"	"3"	"Tuesday"	"3"			2663
	"2013"	"2013"	"March"	"3"	"Wednesday"	"4"	"Single"	"1"	2757
	"2013"	"2013"	"March"	"3"	"Wednesday"	"4"	"Twin"	"2"	115
"Total"	"2013"	"2013"	"March"	"3"	"Wednesday"	"4"			2875
	"2013"	"2013"	"March"	"3"	"Thursday"	"5"	"Single"	"1"	2741
	"2013"	"2013"	"March"	"3"	"Thursday"	"5"	"Twin"	"2"	83
"Total"	"2013"	"2013"	"March"	"3"	"Thursday"	"5"			2824
	"2013"	"2013"	"March"	"3"	"Friday"	"6"	"Single"	"1"	3377
	"2013"	"2013"	"March"	"3"	"Friday"	"6"	"Twin"	"2"	148
"Total"	"2013"	"2013"	"March"	"3"	"Friday"	"6"			3530
	"2013"	"2013"	"March"	"3"	"Saturday"	"7"	"Single"	"1"	2448
	"2013"	"2013"	"March"	"3"	"Saturday"	"7"	"Twin"	"2"	86
"Total"	"2013"	"2013"	"March"	"3"	"Saturday"	"7"			2537
"Total"	"2013"	"2013"	"March"	"3"					19232
	"2013"	"2013"	"April"	"4"	"Sunday"	"1"	"Single"	"1"	1733
	"2013"	"2013"	"April"	"4"	"Sunday"	"1"	"Twin"	"2"	47
"Total"	"2013"	"2013"	"April"	"4"	"Sunday"	"1"			1780
	"2013"	"2013"	"April"	"4"	"Monday"	"2"	"Single"	"1"	3147
	"2013"	"2013"	"April"	"4"	"Monday"	"2"	"Twin"	"2"	159
"Total"	"2013"	"2013"	"April"	"4"	"Monday"	"2"			3309
	"2013"	"2013"	"April"	"4"	"Tuesday"	"3"	"Single"	"1"	3378
	"2013"	"2013"	"April"	"4"	"Tuesday"	"3"	"Twin"	"2"	127
	"2013"	"2013"	"April"	"4"	"Tuesday"	"3"	"Triplet"	"3"	12
"Total"	"2013"	"2013"	"April"	"4"	"Tuesday"	"3"			3517
	"2013"	"2013"	"April"	"4"	"Wednesday"	"4"	"Single"	"1"	2722
	"2013"	"2013"	"April"	"4"	"Wednesday"	"4"	"Twin"	"2"	110
"Total"	"2013"	"2013"	"April"	"4"	"Wednesday"	"4"			2834
	"2013"	"2013"	"April"	"4"	"Thursday"	"5"	"Single"	"1"	2653
	"2013"	"2013"	"April"	"4"	"Thursday"	"5"	"Twin"	"2"	133
"Total"	"2013"	"2013"	"April"	"4"	"Thursday"	"5"			2789
	"2013"	"2013"	"April"	"4"	"Friday"	"6"	"Single"	"1"	2655
	"2013"	"2013"	"April"	"4"	"Friday"	"6"	"Twin"	"2"	120
"Total"	"2013"	"2013"	"April"	"4"	"Friday"	"6"			2779
	"2013"	"2013"	"April"	"4"	"Saturday"	"7"	"Single"	"1"	1969
	"2013"	"2013"	"April"	"4"	"Saturday"	"7"	"Twin"	"2"	61
"Total"	"2013"	"2013"	"April"	"4"	"Saturday"	"7"			2036
"Total"	"2013"	"2013"	"April"	"4"					19044
	"2013"	"2013"	"May"	"5"	"Sunday"	"1"	"Single"	"1"	1752
	"2013"	"2013"	"May"	"5"	"Sunday"	"1"	"Twin"	"2"	39
"Total"	"2013"	"2013"	"May"	"5"	"Sunday"	"1"			1794
	"2013"	"2013"	"May"	"5"	"Monday"	"2"	"Single"	"1"	2378
	"2013"	"2013"	"May"	"5"	"Monday"	"2"	"Twin"	"2"	107
"Total"	"2013"	"2013"	"May"	"5"	"Monday"	"2"			2488
	"2013"	"2013"	"May"	"5"	"Tuesday"	"3"	"Single"	"1"	2847
	"2013"	"2013"	"May"	"5"	"Tuesday"	"3"	"Twin"	"2"	111
"Total"	"2013"	"2013"	"May"	"5"	"Tuesday"	"3"			2961
	"2013"	"2013"	"May"	"5"	"Wednesday"	"4"	"Single"	"1"	3442
	"2013"	"2013"	"May"	"5"	"Wednesday"	"4"	"Twin"	"2"	135
"Total"	"2013"	"2013"	"May"	"5"	"Wednesday"	"4"			3577
	"2013"	"2013"	"May"	"5"	"Thursday"	"5"	"Single"	"1"	3382
	"2013"	"2013"	"May"	"5"	"Thursday"	"5"	"Twin"	"2"	159
"Total"	"2013"	"2013"	"May"	"5"	"Thursday"	"5"			3541
	"2013"	"2013"	"May"	"5"	"Friday"	"6"	"Single"	"1"	3496
	"2013"	"2013"	"May"	"5"	"Friday"	"6"	"Twin"	"2"	143
"Total"	"2013"	"2013"	"May"	"5"	"Friday"	"6"			3645
	"2013"	"2013"	"May"	"5"	"Saturday"	"7"	"Single"	"1"	2037
	"2013"	"2013"	"May"	"5"	"Saturday"	"7"	"Twin"	"2"	69
"Total"	"2013"	"2013"	"May"	"5"	"Saturday"	"7"			2106
"Total"	"2013"	"2013"	"May"	"5"					20112
	"2013"	"2013"	"June"	"6"	"Sunday"	"1"	"Single"	"1"	2461
	"2013"	"2013"	"June"	"6"	"Sunday"	"1"	"Twin"	"2"	68
"Total"	"2013"	"2013"	"June"	"6"	"Sunday"	"1"			2529
	"2013"	"2013"	"June"	"6"	"Monday"	"2"	"Single"	"1"	2645
	"2013"	"2013"	"June"	"6"	"Monday"	"2"	"Twin"	"2"	113
"Total"	"2013"	"2013"	"June"	"6"	"Monday"	"2"			2762
	"2013"	"2013"	"June"	"6"	"Tuesday"	"3"	"Single"	"1"	2794
	"2013"	"2013"	"June"	"6"	"Tuesday"	"3"	"Twin"	"2"	113
"Total"	"2013"	"2013"	"June"	"6"	"Tuesday"	"3"			2916
	"2013"	"2013"	"June"	"6"	"Wednesday"	"4"	"Single"	"1"	2784
	"2013"	"2013"	"June"	"6"	"Wednesday"	"4"	"Twin"	"2"	126
"Total"	"2013"	"2013"	"June"	"6"	"Wednesday"	"4"			2910
	"2013"	"2013"	"June"	"6"	"Thursday"	"5"	"Single"	"1"	2796
	"2013"	"2013"	"June"	"6"	"Thursday"	"5"	"Twin"	"2"	137
	"2013"	"2013"	"June"	"6"	"Thursday"	"5"	"Triplet"	"3"	12
"Total"	"2013"	"2013"	"June"	"6"	"Thursday"	"5"			2945
	"2013"	"2013"	"June"	"6"	"Friday"	"6"	"Single"	"1"	2921
	"2013"	"2013"	"June"	"6"	"Friday"	"6"	"Twin"	"2"	119
"Total"	"2013"	"2013"	"June"	"6"	"Friday"	"6"			3046
	"2013"	"2013"	"June"	"6"	"Saturday"	"7"	"Single"	"1"	2646
	"2013"	"2013"	"June"	"6"	"Saturday"	"7"	"Twin"	"2"	95
"Total"	"2013"	"2013"	"June"	"6"	"Saturday"	"7"			2744
"Total"	"2013"	"2013"	"June"	"6"					19852
	"2013"	"2013"	"July"	"7"	"Sunday"	"1"	"Single"	"1"	2049
	"2013"	"2013"	"July"	"7"	"Sunday"	"1"	"Twin"	"2"	60
"Total"	"2013"	"2013"	"July"	"7"	"Sunday"	"1"			2112
	"2013"	"2013"	"July"	"7"	"Monday"	"2"	"Single"	"1"	3383
	"2013"	"2013"	"July"	"7"	"Monday"	"2"	"Twin"	"2"	127
"Total"	"2013"	"2013"	"July"	"7"	"Monday"	"2"			3513
	"2013"	"2013"	"July"	"7"	"Tuesday"	"3"	"Single"	"1"	3675
	"2013"	"2013"	"July"	"7"	"Tuesday"	"3"	"Twin"	"2"	145
"Total"	"2013"	"2013"	"July"	"7"	"Tuesday"	"3"			3820
	"2013"	"2013"	"July"	"7"	"Wednesday"	"4"	"Single"	"1"	3564
	"2013"	"2013"	"July"	"7"	"Wednesday"	"4"	"Twin"	"2"	144
"Total"	"2013"	"2013"	"July"	"7"	"Wednesday"	"4"			3717
	"2013"	"2013"	"July"	"7"	"Thursday"	"5"	"Single"	"1"	2734
	"2013"	"2013"	"July"	"7"	"Thursday"	"5"	"Twin"	"2"	128
"Total"	"2013"	"2013"	"July"	"7"	"Thursday"	"5"			2865
	"2013"	"2013"	"July"	"7"	"Friday"	"6"	"Single"	"1"	2813
	"2013"	"2013"	"July"	"7"	"Friday"	"6"	"Twin"	"2"	91
"Total"	"2013"	"2013"	"July"	"7"	"Friday"	"6"			2907
	"2013"	"2013"	"July"	"7"	"Saturday"	"7"	"Single"	"1"	2052
	"2013"	"2013"	"July"	"7"	"Saturday"	"7"	"Twin"	"2"	37
"Total"	"2013"	"2013"	"July"	"7"	"Saturday"	"7"			2089
"Total"	"2013"	"2013"	"July"	"7"					21023
	"2013"	"2013"	"August"	"8"	"Sunday"	"1"	"Single"	"1"	1883
	"2013"	"2013"	"August"	"8"	"Sunday"	"1"	"Twin"	"2"	55
"Total"	"2013"	"2013"	"August"	"8"	"Sunday"	"1"			1941
	"2013"	"2013"	"August"	"8"	"Monday"	"2"	"Single"	"1"	2652
	"2013"	"2013"	"August"	"8"	"Monday"	"2"	"Twin"	"2"	106
"Total"	"2013"	"2013"	"August"	"8"	"Monday"	"2"			2760
	"2013"	"2013"	"August"	"8"	"Tuesday"	"3"	"Single"	"1"	2916
	"2013"	"2013"	"August"	"8"	"Tuesday"	"3"	"Twin"	"2"	119
"Total"	"2013"	"2013"	"August"	"8"	"Tuesday"	"3"			3038
	"2013"	"2013"	"August"	"8"	"Wednesday"	"4"	"Single"	"1"	2833
	"2013"	"2013"	"August"	"8"	"Wednesday"	"4"	"Twin"	"2"	115
"Total"	"2013"	"2013"	"August"	"8"	"Wednesday"	"4"			2954
	"2013"	"2013"	"August"	"8"	"Thursday"	"5"	"Single"	"1"	3598
	"2013"	"2013"	"August"	"8"	"Thursday"	"5"	"Twin"	"2"	129
"Total"	"2013"	"2013"	"August"	"8"	"Thursday"	"5"			3733
	"2013"	"2013"	"August"	"8"	"Friday"	"6"	"Single"	"1"	3526
	"2013"	"2013"	"August"	"8"	"Friday"	"6"	"Twin"	"2"	133
"Total"	"2013"	"2013"	"August"	"8"	"Friday"	"6"			3662
	"2013"	"2013"	"August"	"8"	"Saturday"	"7"	"Single"	"1"	2683
	"2013"	"2013"	"August"	"8"	"Saturday"	"7"	"Twin"	"2"	82
"Total"	"2013"	"2013"	"August"	"8"	"Saturday"	"7"			2765
"Total"	"2013"	"2013"	"August"	"8"					20853
	"2013"	"2013"	"September"	"9"	"Sunday"	"1"	"Single"	"1"	2517
	"2013"	"2013"	"September"	"9"	"Sunday"	"1"	"Twin"	"2"	72
"Total"	"2013"	"2013"	"September"	"9"	"Sunday"	"1"			2593
	"2013"	"2013"	"September"	"9"	"Monday"	"2"	"Single"	"1"	3162
	"2013"	"2013"	"September"	"9"	"Monday"	"2"	"Twin"	"2"	145
"Total"	"2013"	"2013"	"September"	"9"	"Monday"	"2"			3313
	"2013"	"2013"	"September"	"9"	"Tuesday"	"3"	"Single"	"1"	2950
	"2013"	"2013"	"September"	"9"	"Tuesday"	"3"	"Twin"	"2"	161
	"2013"	"2013"	"September"	"9"	"Tuesday"	"3"	"Triplet"	"3"	15
"Total"	"2013"	"2013"	"September"	"9"	"Tuesday"	"3"			3126
	"2013"	"2013"	"September"	"9"	"Wednesday"	"4"	"Single"	"1"	2914
	"2013"	"2013"	"September"	"9"	"Wednesday"	"4"	"Twin"	"2"	111
"Total"	"2013"	"2013"	"September"	"9"	"Wednesday"	"4"			3028
	"2013"	"2013"	"September"	"9"	"Thursday"	"5"	"Single"	"1"	2885
	"2013"	"2013"	"September"	"9"	"Thursday"	"5"	"Twin"	"2"	117
"Total"	"2013"	"2013"	"September"	"9"	"Thursday"	"5"			3005
	"2013"	"2013"	"September"	"9"	"Friday"	"6"	"Single"	"1"	2795
	"2013"	"2013"	"September"	"9"	"Friday"	"6"	"Twin"	"2"	104
"Total"	"2013"	"2013"	"September"	"9"	"Friday"	"6"			2908
	"2013"	"2013"	"September"	"9"	"Saturday"	"7"	"Single"	"1"	2156
	"2013"	"2013"	"September"	"9"	"Saturday"	"7"	"Twin"	"2"	72
"Total"	"2013"	"2013"	"September"	"9"	"Saturday"	"7"			2228
"Total"	"2013"	"2013"	"September"	"9"					20201
	"2013"	"2013"	"October"	"10"	"Sunday"	"1"	"Single"	"1"	1880
	"2013"	"2013"	"October"	"10"	"Sunday"	"1"	"Twin"	"2"	60
"Total"	"2013"	"2013"	"October"	"10"	"Sunday"	"1"			1941
	"2013"	"2013"	"October"	"10"	"Monday"	"2"	"Single"	"1"	2505
	"2013"	"2013"	"October"	"10"	"Monday"	"2"	"Twin"	"2"	119
"Total"	"2013"	"2013"	"October"	"10"	"Monday"	"2"			2627
	"2013"	"2013"	"October"	"10"	"Tuesday"	"3"	"Single"	"1"	3518
	"2013"	"2013"	"October"	"10"	"Tuesday"	"3"	"Twin"	"2"	163
"Total"	"2013"	"2013"	"October"	"10"	"Tuesday"	"3"			3684
	"2013"	"2013"	"October"	"10"	"Wednesday"	"4"	"Single"	"1"	3431
	"2013"	"2013"	"October"	"10"	"Wednesday"	"4"	"Twin"	"2"	144
"Total"	"2013"	"2013"	"October"	"10"	"Wednesday"	"4"			3581
	"2013"	"2013"	"October"	"10"	"Thursday"	"5"	"Single"	"1"	3351
	"2013"	"2013"	"October"	"10"	"Thursday"	"5"	"Twin"	"2"	132
"Total"	"2013"	"2013"	"October"	"10"	"Thursday"	"5"			3493
	"2013"	"2013"	"October"	"10"	"Friday"	"6"	"Single"	"1"	2685
	"2013"	"2013"	"October"	"10"	"Friday"	"6"	"Twin"	"2"	122
	"2013"	"2013"	"October"	"10"	"Friday"	"6"	"Triplet"	"3"	18
"Total"	"2013"	"2013"	"October"	"10"	"Friday"	"6"			2825
	"2013"	"2013"	"October"	"10"	"Saturday"	"7"	"Single"	"1"	2095
	"2013"	"2013"	"October"	"10"	"Saturday"	"7"	"Twin"	"2"	66
	"2013"	"2013"	"October"	"10"	"Saturday"	"7"	"Triplet"	"3"	11
"Total"	"2013"	"2013"	"October"	"10"	"Saturday"	"7"			2172
"Total"	"2013"	"2013"	"October"	"10"					20323
	"2013"	"2013"	"November"	"11"	"Sunday"	"1"	"Single"	"1"	1734
	"2013"	"2013"	"November"	"11"	"Sunday"	"1"	"Twin"	"2"	56
"Total"	"2013"	"2013"	"November"	"11"	"Sunday"	"1"			1793
	"2013"	"2013"	"November"	"11"	"Monday"	"2"	"Single"	"1"	2505
	"2013"	"2013"	"November"	"11"	"Monday"	"2"	"Twin"	"2"	111
	"2013"	"2013"	"November"	"11"	"Monday"	"2"	"Triplet"	"3"	10
"Total"	"2013"	"2013"	"November"	"11"	"Monday"	"2"			2626
	"2013"	"2013"	"November"	"11"	"Tuesday"	"3"	"Single"	"1"	2796
	"2013"	"2013"	"November"	"11"	"Tuesday"	"3"	"Twin"	"2"	109
"Total"	"2013"	"2013"	"November"	"11"	"Tuesday"	"3"			2908
	"2013"	"2013"	"November"	"11"	"Wednesday"	"4"	"Single"	"1"	2610
	"2013"	"2013"	"November"	"11"	"Wednesday"	"4"	"Twin"	"2"	116
"Total"	"2013"	"2013"	"November"	"11"	"Wednesday"	"4"			2729
	"2013"	"2013"	"November"	"11"	"Thursday"	"5"	"Single"	"1"	2602
	"2013"	"2013"	"November"	"11"	"Thursday"	"5"	"Twin"	"2"	101
"Total"	"2013"	"2013"	"November"	"11"	"Thursday"	"5"			2703
	"2013"	"2013"	"November"	"11"	"Friday"	"6"	"Single"	"1"	3367
	"2013"	"2013"	"November"	"11"	"Friday"	"6"	"Twin"	"2"	139
"Total"	"2013"	"2013"	"November"	"11"	"Friday"	"6"			3512
	"2013"	"2013"	"November"	"11"	"Saturday"	"7"	"Single"	"1"	2547
	"2013"	"2013"	"November"	"11"	"Saturday"	"7"	"Twin"	"2"	99
"Total"	"2013"	"2013"	"November"	"11"	"Saturday"	"7"			2646
"Total"	"2013"	"2013"	"November"	"11"					18917
	"2013"	"2013"	"December"	"12"	"Sunday"	"1"	"Single"	"1"	2303
	"2013"	"2013"	"December"	"12"	"Sunday"	"1"	"Twin"	"2"	88
"Total"	"2013"	"2013"	"December"	"12"	"Sunday"	"1"			2397
	"2013"	"2013"	"December"	"12"	"Monday"	"2"	"Single"	"1"	3119
	"2013"	"2013"	"December"	"12"	"Monday"	"2"	"Twin"	"2"	166
"Total"	"2013"	"2013"	"December"	"12"	"Monday"	"2"			3294
	"2013"	"2013"	"December"	"12"	"Tuesday"	"3"	"Single"	"1"	3499
	"2013"	"2013"	"December"	"12"	"Tuesday"	"3"	"Twin"	"2"	158
"Total"	"2013"	"2013"	"December"	"12"	"Tuesday"	"3"			3663
	"2013"	"2013"	"December"	"12"	"Wednesday"	"4"	"Single"	"1"	2501
	"2013"	"2013"	"December"	"12"	"Wednesday"	"4"	"Twin"	"2"	115
"Total"	"2013"	"2013"	"December"	"12"	"Wednesday"	"4"			2616
	"2013"	"2013"	"December"	"12"	"Thursday"	"5"	"Single"	"1"	2705
	"2013"	"2013"	"December"	"12"	"Thursday"	"5"	"Twin"	"2"	120
"Total"	"2013"	"2013"	"December"	"12"	"Thursday"	"5"			2828
	"2013"	"2013"	"December"	"12"	"Friday"	"6"	"Single"	"1"	2773
	"2013"	"2013"	"December"	"12"	"Friday"	"6"	"Twin"	"2"	122
"Total"	"2013"	"2013"	"December"	"12"	"Friday"	"6"			2895
	"2013"	"2013"	"December"	"12"	"Saturday"	"7"	"Single"	"1"	2049
	"2013"	"2013"	"December"	"12"	"Saturday"	"7"	"Twin"	"2"	67
"Total"	"2013"	"2013"	"December"	"12"	"Saturday"	"7"			2116
"Total"	"2013"	"2013"	"December"	"12"					19809
"Total"	"2013"	"2013"							236980
	"2014"	"2014"	"January"	"1"	"Sunday"	"1"	"Single"	"1"	1805
	"2014"	"2014"	"January"	"1"	"Sunday"	"1"	"Twin"	"2"	64
"Total"	"2014"	"2014"	"January"	"1"	"Sunday"	"1"			1872
	"2014"	"2014"	"January"	"1"	"Monday"	"2"	"Single"	"1"	2419
	"2014"	"2014"	"January"	"1"	"Monday"	"2"	"Twin"	"2"	86
"Total"	"2014"	"2014"	"January"	"1"	"Monday"	"2"			2511
	"2014"	"2014"	"January"	"1"	"Tuesday"	"3"	"Single"	"1"	2793
	"2014"	"2014"	"January"	"1"	"Tuesday"	"3"	"Twin"	"2"	105
"Total"	"2014"	"2014"	"January"	"1"	"Tuesday"	"3"			2901
	"2014"	"2014"	"January"	"1"	"Wednesday"	"4"	"Single"	"1"	3020
	"2014"	"2014"	"January"	"1"	"Wednesday"	"4"	"Twin"	"2"	128
"Total"	"2014"	"2014"	"January"	"1"	"Wednesday"	"4"			3154
	"2014"	"2014"	"January"	"1"	"Thursday"	"5"	"Single"	"1"	3269
	"2014"	"2014"	"January"	"1"	"Thursday"	"5"	"Twin"	"2"	133
"Total"	"2014"	"2014"	"January"	"1"	"Thursday"	"5"			3402
	"2014"	"2014"	"January"	"1"	"Friday"	"6"	"Single"	"1"	3279
	"2014"	"2014"	"January"	"1"	"Friday"	"6"	"Twin"	"2"	142
"Total"	"2014"	"2014"	"January"	"1"	"Friday"	"6"			3432
	"2014"	"2014"	"January"	"1"	"Saturday"	"7"	"Single"	"1"	2109
	"2014"	"2014"	"January"	"1"	"Saturday"	"7"	"Twin"	"2"	79
"Total"	"2014"	"2014"	"January"	"1"	"Saturday"	"7"			2197
"Total"	"2014"	"2014"	"January"	"1"					19469
	"2014"	"2014"	"February"	"2"	"Sunday"	"1"	"Single"	"1"	1862
	"2014"	"2014"	"February"	"2"	"Sunday"	"1"	"Twin"	"2"	42
"Total"	"2014"	"2014"	"February"	"2"	"Sunday"	"1"			1904
	"2014"	"2014"	"February"	"2"	"Monday"	"2"	"Single"	"1"	2472
	"2014"	"2014"	"February"	"2"	"Monday"	"2"	"Twin"	"2"	102
"Total"	"2014"	"2014"	"February"	"2"	"Monday"	"2"			2575
	"2014"	"2014"	"February"	"2"	"Tuesday"	"3"	"Single"	"1"	2704
	"2014"	"2014"	"February"	"2"	"Tuesday"	"3"	"Twin"	"2"	95
"Total"	"2014"	"2014"	"February"	"2"	"Tuesday"	"3"			2805
	"2014"	"2014"	"February"	"2"	"Wednesday"	"4"	"Single"	"1"	2659
	"2014"	"2014"	"February"	"2"	"Wednesday"	"4"	"Twin"	"2"	113
"Total"	"2014"	"2014"	"February"	"2"	"Wednesday"	"4"			2775
	"2014"	"2014"	"February"	"2"	"Thursday"	"5"	"Single"	"1"	2580
	"2014"	"2014"	"February"	"2"	"Thursday"	"5"	"Twin"	"2"	92
"Total"	"2014"	"2014"	"February"	"2"	"Thursday"	"5"			2681
	"2014"	"2014"	"February"	"2"	"Friday"	"6"	"Single"	"1"	2627
	"2014"	"2014"	"February"	"2"	"Friday"	"6"	"Twin"	"2"	109
"Total"	"2014"	"2014"	"February"	"2"	"Friday"	"6"			2743
	"2014"	"2014"	"February"	"2"	"Saturday"	"7"	"Single"	"1"	2105
	"2014"	"2014"	"February"	"2"	"Saturday"	"7"	"Twin"	"2"	58
	"2014"	"2014"	"February"	"2"	"Saturday"	"7"	"Triplet"	"3"	12
"Total"	"2014"	"2014"	"February"	"2"	"Saturday"	"7"			2175
"Total"	"2014"	"2014"	"February"	"2"					17658
	"2014"	"2014"	"March"	"3"	"Sunday"	"1"	"Single"	"1"	2289
	"2014"	"2014"	"March"	"3"	"Sunday"	"1"	"Twin"	"2"	67
"Total"	"2014"	"2014"	"March"	"3"	"Sunday"	"1"			2359
	"2014"	"2014"	"March"	"3"	"Monday"	"2"	"Single"	"1"	3113
	"2014"	"2014"	"March"	"3"	"Monday"	"2"	"Twin"	"2"	129
"Total"	"2014"	"2014"	"March"	"3"	"Monday"	"2"			3245
	"2014"	"2014"	"March"	"3"	"Tuesday"	"3"	"Single"	"1"	2772
	"2014"	"2014"	"March"	"3"	"Tuesday"	"3"	"Twin"	"2"	100
"Total"	"2014"	"2014"	"March"	"3"	"Tuesday"	"3"			2877
	"2014"	"2014"	"March"	"3"	"Wednesday"	"4"	"Single"	"1"	2675
	"2014"	"2014"	"March"	"3"	"Wednesday"	"4"	"Twin"	"2"	89
	"2014"	"2014"	"March"	"3"	"Wednesday"	"4"	"Triplet"	"3"	11
"Total"	"2014"	"2014"	"March"	"3"	"Wednesday"	"4"			2775
	"2014"	"2014"	"March"	"3"	"Thursday"	"5"	"Single"	"1"	2613
	"2014"	"2014"	"March"	"3"	"Thursday"	"5"	"Twin"	"2"	123
"Total"	"2014"	"2014"	"March"	"3"	"Thursday"	"5"			2736
	"2014"	"2014"	"March"	"3"	"Friday"	"6"	"Single"	"1"	2708
	"2014"	"2014"	"March"	"3"	"Friday"	"6"	"Twin"	"2"	105
"Total"	"2014"	"2014"	"March"	"3"	"Friday"	"6"			2816
	"2014"	"2014"	"March"	"3"	"Saturday"	"7"	"Single"	"1"	2604
	"2014"	"2014"	"March"	"3"	"Saturday"	"7"	"Twin"	"2"	77
"Total"	"2014"	"2014"	"March"	"3"	"Saturday"	"7"			2681
