"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"2007"	"2007"	"May"	"5"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"May"	"5"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"May"	"5"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"May"	"5"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"May"	"5"	"22 weeks"	"22"	11
	"2007"	"2007"	"May"	"5"	"23 weeks"	"23"	11
	"2007"	"2007"	"May"	"5"	"24 weeks"	"24"	15
	"2007"	"2007"	"May"	"5"	"25 weeks"	"25"	27
	"2007"	"2007"	"May"	"5"	"26 weeks"	"26"	21
	"2007"	"2007"	"May"	"5"	"27 weeks"	"27"	27
	"2007"	"2007"	"May"	"5"	"28 weeks"	"28"	38
	"2007"	"2007"	"May"	"5"	"29 weeks"	"29"	33
	"2007"	"2007"	"May"	"5"	"30 weeks"	"30"	64
	"2007"	"2007"	"May"	"5"	"31 weeks"	"31"	88
	"2007"	"2007"	"May"	"5"	"32 weeks"	"32"	125
	"2007"	"2007"	"May"	"5"	"33 weeks"	"33"	199
	"2007"	"2007"	"May"	"5"	"34 weeks"	"34"	283
	"2007"	"2007"	"May"	"5"	"35 weeks"	"35"	452
	"2007"	"2007"	"May"	"5"	"36 weeks"	"36"	829
	"2007"	"2007"	"May"	"5"	"37 weeks"	"37"	1655
	"2007"	"2007"	"May"	"5"	"38 weeks"	"38"	3637
	"2007"	"2007"	"May"	"5"	"39 weeks"	"39"	5431
	"2007"	"2007"	"May"	"5"	"40 weeks"	"40"	4417
	"2007"	"2007"	"May"	"5"	"41 weeks"	"41"	2014
	"2007"	"2007"	"May"	"5"	"42 weeks"	"42"	631
	"2007"	"2007"	"May"	"5"	"43 weeks"	"43"	338
	"2007"	"2007"	"May"	"5"	"44 weeks"	"44"	177
	"2007"	"2007"	"May"	"5"	"45 weeks"	"45"	79
	"2007"	"2007"	"May"	"5"	"46 weeks"	"46"	32
	"2007"	"2007"	"May"	"5"	"47 weeks"	"47"	13
	"2007"	"2007"	"May"	"5"	"Unknown or Not Stated"	"99"	18
"Total"	"2007"	"2007"	"May"	"5"			20681
	"2007"	"2007"	"June"	"6"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"June"	"6"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"June"	"6"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"June"	"6"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"June"	"6"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"June"	"6"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"June"	"6"	"23 weeks"	"23"	Suppressed
	"2007"	"2007"	"June"	"6"	"24 weeks"	"24"	20
	"2007"	"2007"	"June"	"6"	"25 weeks"	"25"	13
	"2007"	"2007"	"June"	"6"	"26 weeks"	"26"	23
	"2007"	"2007"	"June"	"6"	"27 weeks"	"27"	31
	"2007"	"2007"	"June"	"6"	"28 weeks"	"28"	46
	"2007"	"2007"	"June"	"6"	"29 weeks"	"29"	47
	"2007"	"2007"	"June"	"6"	"30 weeks"	"30"	53
	"2007"	"2007"	"June"	"6"	"31 weeks"	"31"	72
	"2007"	"2007"	"June"	"6"	"32 weeks"	"32"	113
	"2007"	"2007"	"June"	"6"	"33 weeks"	"33"	170
	"2007"	"2007"	"June"	"6"	"34 weeks"	"34"	312
	"2007"	"2007"	"June"	"6"	"35 weeks"	"35"	459
	"2007"	"2007"	"June"	"6"	"36 weeks"	"36"	802
	"2007"	"2007"	"June"	"6"	"37 weeks"	"37"	1697
	"2007"	"2007"	"June"	"6"	"38 weeks"	"38"	3764
	"2007"	"2007"	"June"	"6"	"39 weeks"	"39"	5412
	"2007"	"2007"	"June"	"6"	"40 weeks"	"40"	4345
	"2007"	"2007"	"June"	"6"	"41 weeks"	"41"	2068
	"2007"	"2007"	"June"	"6"	"42 weeks"	"42"	618
	"2007"	"2007"	"June"	"6"	"43 weeks"	"43"	289
	"2007"	"2007"	"June"	"6"	"44 weeks"	"44"	148
	"2007"	"2007"	"June"	"6"	"45 weeks"	"45"	60
	"2007"	"2007"	"June"	"6"	"46 weeks"	"46"	14
	"2007"	"2007"	"June"	"6"	"47 weeks"	"47"	13
	"2007"	"2007"	"June"	"6"	"Unknown or Not Stated"	"99"	14
"Total"	"2007"	"2007"	"June"	"6"			20624
	"2007"	"2007"	"July"	"7"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"July"	"7"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"July"	"7"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"July"	"7"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"July"	"7"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"July"	"7"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"July"	"7"	"23 weeks"	"23"	Suppressed
	"2007"	"2007"	"July"	"7"	"24 weeks"	"24"	18
	"2007"	"2007"	"July"	"7"	"25 weeks"	"25"	20
	"2007"	"2007"	"July"	"7"	"26 weeks"	"26"	23
	"2007"	"2007"	"July"	"7"	"27 weeks"	"27"	21
	"2007"	"2007"	"July"	"7"	"28 weeks"	"28"	28
	"2007"	"2007"	"July"	"7"	"29 weeks"	"29"	54
	"2007"	"2007"	"July"	"7"	"30 weeks"	"30"	56
	"2007"	"2007"	"July"	"7"	"31 weeks"	"31"	98
	"2007"	"2007"	"July"	"7"	"32 weeks"	"32"	134
	"2007"	"2007"	"July"	"7"	"33 weeks"	"33"	190
	"2007"	"2007"	"July"	"7"	"34 weeks"	"34"	302
	"2007"	"2007"	"July"	"7"	"35 weeks"	"35"	461
	"2007"	"2007"	"July"	"7"	"36 weeks"	"36"	821
	"2007"	"2007"	"July"	"7"	"37 weeks"	"37"	1675
	"2007"	"2007"	"July"	"7"	"38 weeks"	"38"	3637
	"2007"	"2007"	"July"	"7"	"39 weeks"	"39"	5568
	"2007"	"2007"	"July"	"7"	"40 weeks"	"40"	4585
	"2007"	"2007"	"July"	"7"	"41 weeks"	"41"	2236
	"2007"	"2007"	"July"	"7"	"42 weeks"	"42"	710
	"2007"	"2007"	"July"	"7"	"43 weeks"	"43"	309
	"2007"	"2007"	"July"	"7"	"44 weeks"	"44"	154
	"2007"	"2007"	"July"	"7"	"45 weeks"	"45"	91
	"2007"	"2007"	"July"	"7"	"46 weeks"	"46"	23
	"2007"	"2007"	"July"	"7"	"47 weeks"	"47"	16
	"2007"	"2007"	"July"	"7"	"Unknown or Not Stated"	"99"	22
"Total"	"2007"	"2007"	"July"	"7"			21275
	"2007"	"2007"	"August"	"8"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"August"	"8"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"August"	"8"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"August"	"8"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"August"	"8"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"August"	"8"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"August"	"8"	"23 weeks"	"23"	12
	"2007"	"2007"	"August"	"8"	"24 weeks"	"24"	18
	"2007"	"2007"	"August"	"8"	"25 weeks"	"25"	17
	"2007"	"2007"	"August"	"8"	"26 weeks"	"26"	16
	"2007"	"2007"	"August"	"8"	"27 weeks"	"27"	34
	"2007"	"2007"	"August"	"8"	"28 weeks"	"28"	33
	"2007"	"2007"	"August"	"8"	"29 weeks"	"29"	42
	"2007"	"2007"	"August"	"8"	"30 weeks"	"30"	58
	"2007"	"2007"	"August"	"8"	"31 weeks"	"31"	63
	"2007"	"2007"	"August"	"8"	"32 weeks"	"32"	105
	"2007"	"2007"	"August"	"8"	"33 weeks"	"33"	169
	"2007"	"2007"	"August"	"8"	"34 weeks"	"34"	265
	"2007"	"2007"	"August"	"8"	"35 weeks"	"35"	441
	"2007"	"2007"	"August"	"8"	"36 weeks"	"36"	837
	"2007"	"2007"	"August"	"8"	"37 weeks"	"37"	1748
	"2007"	"2007"	"August"	"8"	"38 weeks"	"38"	3765
	"2007"	"2007"	"August"	"8"	"39 weeks"	"39"	5766
	"2007"	"2007"	"August"	"8"	"40 weeks"	"40"	4688
	"2007"	"2007"	"August"	"8"	"41 weeks"	"41"	2249
